Symbol,Description,Category,Score
SLC2A1,Solute Carrier Family 2 Member 1,Protein Coding,37.09
DAPK1,Death Associated Protein Kinase 1,Protein Coding,37.09
ACVR2A,Activin A Receptor Type 2A,Protein Coding,37.07
MAP2K2,Mitogen-Activated Protein Kinase Kinase 2,Protein Coding,37.02
CXCL8,C-X-C Motif Chemokine Ligand 8,Protein Coding,37.01
CYP24A1,Cytochrome P450 Family 24 Subfamily A Member 1,Protein Coding,37
NRP1,Neuropilin 1,Protein Coding,36.97
LGALS3BP,Galectin 3 Binding Protein,Protein Coding,36.97
ITGAV,Integrin Subunit Alpha V,Protein Coding,36.96
ST6GAL1,"ST6 Beta-Galactoside Alpha-2,6-Sialyltransferase 1",Protein Coding,36.95
ID1,Inhibitor Of DNA Binding 1,Protein Coding,36.91
HSPB1,Heat Shock Protein Family B (Small) Member 1,Protein Coding,36.91
BECN1,Beclin 1,Protein Coding,36.82
TOP2A,DNA Topoisomerase II Alpha,Protein Coding,36.78
CASP2,Caspase 2,Protein Coding,36.72
PPP2R1B,Protein Phosphatase 2 Scaffold Subunit Abeta,Protein Coding,36.72
CD86,CD86 Molecule,Protein Coding,36.68
ESR1,Estrogen Receptor 1,Protein Coding,36.68
TKT,Transketolase,Protein Coding,36.66
REG4,Regenerating Family Member 4,Protein Coding,36.62
TMSB4X,Thymosin Beta 4 X-Linked,Protein Coding,36.59
CYP1A2,Cytochrome P450 Family 1 Subfamily A Member 2,Protein Coding,36.58
CREB1,CAMP Responsive Element Binding Protein 1,Protein Coding,36.57
DDIT3,DNA Damage Inducible Transcript 3,Protein Coding,36.5
HSPA4,Heat Shock Protein Family A (Hsp70) Member 4,Protein Coding,36.46
PDCD1,Programmed Cell Death 1,Protein Coding,36.45
PTGES2,Prostaglandin E Synthase 2,Protein Coding,36.45
NCAM1,Neural Cell Adhesion Molecule 1,Protein Coding,36.36
UGT1A7,UDP Glucuronosyltransferase Family 1 Member A7,Protein Coding,36.35
PAK1,P21 (RAC1) Activated Kinase 1,Protein Coding,36.3
MAP2K3,Mitogen-Activated Protein Kinase Kinase 3,Protein Coding,36.2
FZD4,Frizzled Class Receptor 4,Protein Coding,36.19
MUC1,"Mucin 1, Cell Surface Associated",Protein Coding,36.15
ALDH1A1,Aldehyde Dehydrogenase 1 Family Member A1,Protein Coding,36.08
FANCE,FA Complementation Group E,Protein Coding,36.08
MTOR,Mechanistic Target Of Rapamycin Kinase,Protein Coding,36.06
DKK4,Dickkopf WNT Signaling Pathway Inhibitor 4,Protein Coding,36.06
PIK3CG,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma",Protein Coding,36.04
PCNA,Proliferating Cell Nuclear Antigen,Protein Coding,36.04
SLC5A8,Solute Carrier Family 5 Member 8,Protein Coding,36.01
SLIT2,Slit Guidance Ligand 2,Protein Coding,35.93
IFNB1,Interferon Beta 1,Protein Coding,35.87
HSP90B1,Heat Shock Protein 90 Beta Family Member 1,Protein Coding,35.87
HMOX1,Heme Oxygenase 1,Protein Coding,35.79
CSF2,Colony Stimulating Factor 2,Protein Coding,35.78
EZR,Ezrin,Protein Coding,35.76
SERPINB2,Serpin Family B Member 2,Protein Coding,35.74
ALOX12,"Arachidonate 12-Lipoxygenase, 12S Type",Protein Coding,35.71
SAT1,Spermidine/Spermine N1-Acetyltransferase 1,Protein Coding,35.67
MUC4,"Mucin 4, Cell Surface Associated",Protein Coding,35.63
SI,Sucrase-Isomaltase,Protein Coding,35.58
APEX1,Apurinic/Apyrimidinic Endodeoxyribonuclease 1,Protein Coding,35.52
ALCAM,Activated Leukocyte Cell Adhesion Molecule,Protein Coding,35.46
EXO1,Exonuclease 1,Protein Coding,35.45
PPARA,Peroxisome Proliferator Activated Receptor Alpha,Protein Coding,35.45
AIM2,Absent In Melanoma 2,Protein Coding,35.43
CDKN3,Cyclin Dependent Kinase Inhibitor 3,Protein Coding,35.39
MMP13,Matrix Metallopeptidase 13,Protein Coding,35.39
HPSE,Heparanase,Protein Coding,35.36
CD40,CD40 Molecule,Protein Coding,35.36
FGFR4,Fibroblast Growth Factor Receptor 4,Protein Coding,35.36
TFRC,Transferrin Receptor,Protein Coding,35.35
CHUK,Component Of Inhibitor Of Nuclear Factor Kappa B Kinase Complex,Protein Coding,35.34
MAPK9,Mitogen-Activated Protein Kinase 9,Protein Coding,35.22
STAT6,Signal Transducer And Activator Of Transcription 6,Protein Coding,35.14
ST14,ST14 Transmembrane Serine Protease Matriptase,Protein Coding,35.11
INS,Insulin,Protein Coding,35.07
EPHA3,EPH Receptor A3,Protein Coding,35.07
NTRK1,Neurotrophic Receptor Tyrosine Kinase 1,Protein Coding,35.05
VCAM1,Vascular Cell Adhesion Molecule 1,Protein Coding,35.03
KLRK1,Killer Cell Lectin Like Receptor K1,Protein Coding,35.01
IL4,Interleukin 4,Protein Coding,35
MAPK12,Mitogen-Activated Protein Kinase 12,Protein Coding,34.96
PLK4,Polo Like Kinase 4,Protein Coding,34.95
SLC19A1,Solute Carrier Family 19 Member 1,Protein Coding,34.94
EREG,Epiregulin,Protein Coding,34.94
BMP4,Bone Morphogenetic Protein 4,Protein Coding,34.92
SOX2,SRY-Box Transcription Factor 2,Protein Coding,34.87
ALOX5,Arachidonate 5-Lipoxygenase,Protein Coding,34.84
CDKN2B,Cyclin Dependent Kinase Inhibitor 2B,Protein Coding,34.84
TCF3,Transcription Factor 3,Protein Coding,34.8
TNS4,Tensin 4,Protein Coding,34.72
PGK1,Phosphoglycerate Kinase 1,Protein Coding,34.69
MYB,"MYB Proto-Oncogene, Transcription Factor",Protein Coding,34.67
CDCP1,CUB Domain Containing Protein 1,Protein Coding,34.66
CASP1,Caspase 1,Protein Coding,34.66
HSP90AB1,Heat Shock Protein 90 Alpha Family Class B Member 1,Protein Coding,34.61
NDRG1,N-Myc Downstream Regulated 1,Protein Coding,34.59
UGT1A10,UDP Glucuronosyltransferase Family 1 Member A10,Protein Coding,34.57
BCAR1,"BCAR1 Scaffold Protein, Cas Family Member",Protein Coding,34.55
ETV4,ETS Variant Transcription Factor 4,Protein Coding,34.53
MVP,Major Vault Protein,Protein Coding,34.47
MGAT5,"Alpha-1,6-Mannosylglycoprotein 6-Beta-N-Acetylglucosaminyltransferase",Protein Coding,34.44
SPINK1,Serine Peptidase Inhibitor Kazal Type 1,Protein Coding,34.42
BNIP3,BCL2 Interacting Protein 3,Protein Coding,34.41
PTGER2,Prostaglandin E Receptor 2,Protein Coding,34.38
KIT,"KIT Proto-Oncogene, Receptor Tyrosine Kinase",Protein Coding,34.37
NRG1,Neuregulin 1,Protein Coding,34.34
DCN,Decorin,Protein Coding,34.34
GLI1,GLI Family Zinc Finger 1,Protein Coding,34.33
WNT2B,Wnt Family Member 2B,Protein Coding,34.33
CDH17,Cadherin 17,Protein Coding,34.32
NKD1,NKD Inhibitor Of WNT Signaling Pathway 1,Protein Coding,34.3
BTRC,Beta-Transducin Repeat Containing E3 Ubiquitin Protein Ligase,Protein Coding,34.3
MAGEA1,MAGE Family Member A1,Protein Coding,34.3
PDGFRA,Platelet Derived Growth Factor Receptor Alpha,Protein Coding,34.28
KLF5,KLF Transcription Factor 5,Protein Coding,34.28
APAF1,Apoptotic Peptidase Activating Factor 1,Protein Coding,34.27
ANGPT2,Angiopoietin 2,Protein Coding,34.24
IGF2BP1,Insulin Like Growth Factor 2 MRNA Binding Protein 1,Protein Coding,34.23
PTGES,Prostaglandin E Synthase,Protein Coding,34.2
FGFR1,Fibroblast Growth Factor Receptor 1,Protein Coding,34.19
MMP3,Matrix Metallopeptidase 3,Protein Coding,34.14
NR1I2,Nuclear Receptor Subfamily 1 Group I Member 2,Protein Coding,34.11
BIRC2,Baculoviral IAP Repeat Containing 2,Protein Coding,34.11
TFF1,Trefoil Factor 1,Protein Coding,34.11
ARRB1,Arrestin Beta 1,Protein Coding,34.07
RIPK1,Receptor Interacting Serine/Threonine Kinase 1,Protein Coding,34.04
ABCC3,ATP Binding Cassette Subfamily C Member 3,Protein Coding,33.99
YBX1,Y-Box Binding Protein 1,Protein Coding,33.98
THBS2,Thrombospondin 2,Protein Coding,33.92
MUC3A,"Mucin 3A, Cell Surface Associated",Protein Coding,33.89
MAPK13,Mitogen-Activated Protein Kinase 13,Protein Coding,33.89
RARB,Retinoic Acid Receptor Beta,Protein Coding,33.89
IL1A,Interleukin 1 Alpha,Protein Coding,33.88
IL4R,Interleukin 4 Receptor,Protein Coding,33.86
HBEGF,Heparin Binding EGF Like Growth Factor,Protein Coding,33.8
PLCG1,Phospholipase C Gamma 1,Protein Coding,33.8
XBP1,X-Box Binding Protein 1,Protein Coding,33.78
CREBBP,CREB Binding Protein,Protein Coding,33.76
CCR7,C-C Motif Chemokine Receptor 7,Protein Coding,33.75
CASP6,Caspase 6,Protein Coding,33.72
BMI1,"BMI1 Proto-Oncogene, Polycomb Ring Finger",Protein Coding,33.71
NLK,Nemo Like Kinase,Protein Coding,33.7
RPSA,Ribosomal Protein SA,Protein Coding,33.66
IFNA1,Interferon Alpha 1,Protein Coding,33.65
PTPN11,Protein Tyrosine Phosphatase Non-Receptor Type 11,Protein Coding,33.57
DDX53,DEAD-Box Helicase 53,Protein Coding,33.54
CDC42,Cell Division Cycle 42,Protein Coding,33.52
IKBKB,Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Beta,Protein Coding,33.5
ABCC2,ATP Binding Cassette Subfamily C Member 2,Protein Coding,33.49
CLU,Clusterin,Protein Coding,33.39
GATA6,GATA Binding Protein 6,Protein Coding,33.3
RPS6KB1,Ribosomal Protein S6 Kinase B1,Protein Coding,33.29
SGK2,Serum/Glucocorticoid Regulated Kinase 2,Protein Coding,33.27
CD36,CD36 Molecule,Protein Coding,33.27
GUCA2A,Guanylate Cyclase Activator 2A,Protein Coding,33.25
LIMS1,LIM Zinc Finger Domain Containing 1,Protein Coding,33.24
MT-CO2,Mitochondrially Encoded Cytochrome C Oxidase II,Protein Coding,33.24
MTR,5-Methyltetrahydrofolate-Homocysteine Methyltransferase,Protein Coding,33.23
POLB,DNA Polymerase Beta,Protein Coding,33.19
RECK,Reversion Inducing Cysteine Rich Protein With Kazal Motifs,Protein Coding,33.19
FCGR3A,Fc Gamma Receptor IIIa,Protein Coding,33.11
BID,BH3 Interacting Domain Death Agonist,Protein Coding,33.09
DPP4,Dipeptidyl Peptidase 4,Protein Coding,33.08
EPHB4,EPH Receptor B4,Protein Coding,33.04
RUVBL1,RuvB Like AAA ATPase 1,Protein Coding,32.99
MACC1,MET Transcriptional Regulator MACC1,Protein Coding,32.97
MAP2K6,Mitogen-Activated Protein Kinase Kinase 6,Protein Coding,32.94
RAD51,RAD51 Recombinase,Protein Coding,32.9
COL4A1,Collagen Type IV Alpha 1 Chain,Protein Coding,32.8
PGR,Progesterone Receptor,Protein Coding,32.73
EIF2AK3,Eukaryotic Translation Initiation Factor 2 Alpha Kinase 3,Protein Coding,32.7
VCL,Vinculin,Protein Coding,32.69
ERCC2,"ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit",Protein Coding,32.65
CASP5,Caspase 5,Protein Coding,32.65
NOD2,Nucleotide Binding Oligomerization Domain Containing 2,Protein Coding,32.63
IDH1,Isocitrate Dehydrogenase (NADP(+)) 1,Protein Coding,32.62
BSG,Basigin (Ok Blood Group),Protein Coding,32.62
CEACAM4,CEA Cell Adhesion Molecule 4,Protein Coding,32.59
CD4,CD4 Molecule,Protein Coding,32.58
AXL,AXL Receptor Tyrosine Kinase,Protein Coding,32.53
COL11A1,Collagen Type XI Alpha 1 Chain,Protein Coding,32.48
EPAS1,Endothelial PAS Domain Protein 1,Protein Coding,32.48
UGT1A9,UDP Glucuronosyltransferase Family 1 Member A9,Protein Coding,32.46
PTCH1,Patched 1,Protein Coding,32.45
CEBPB,CCAAT Enhancer Binding Protein Beta,Protein Coding,32.44
LDHA,Lactate Dehydrogenase A,Protein Coding,32.43
SKP2,S-Phase Kinase Associated Protein 2,Protein Coding,32.42
CSNK1E,Casein Kinase 1 Epsilon,Protein Coding,32.35
PRKCB,Protein Kinase C Beta,Protein Coding,32.33
CXCR1,C-X-C Motif Chemokine Receptor 1,Protein Coding,32.33
CD8A,CD8 Subunit Alpha,Protein Coding,32.33
CD59,CD59 Molecule (CD59 Blood Group),Protein Coding,32.23
RELA,"RELA Proto-Oncogene, NF-KB Subunit",Protein Coding,32.2
SPP1,Secreted Phosphoprotein 1,Protein Coding,32.19
NF2,"NF2, Moesin-Ezrin-Radixin Like (MERLIN) Tumor Suppressor",Protein Coding,32.17
PLA2G4A,Phospholipase A2 Group IVA,Protein Coding,32.16
SPHK1,Sphingosine Kinase 1,Protein Coding,32.13
IRF1,Interferon Regulatory Factor 1,Protein Coding,32.1
PTK2B,Protein Tyrosine Kinase 2 Beta,Protein Coding,32.08
CTNNBIP1,Catenin Beta Interacting Protein 1,Protein Coding,32.08
CYP2C9,Cytochrome P450 Family 2 Subfamily C Member 9,Protein Coding,32.06
CSF1,Colony Stimulating Factor 1,Protein Coding,32.05
IL13,Interleukin 13,Protein Coding,32.04
KLF6,KLF Transcription Factor 6,Protein Coding,32.01
ALOX15,Arachidonate 15-Lipoxygenase,Protein Coding,31.99
HMGCR,3-Hydroxy-3-Methylglutaryl-CoA Reductase,Protein Coding,31.98
LMNB1,Lamin B1,Protein Coding,31.94
VIM,Vimentin,Protein Coding,31.94
LMNA,Lamin A/C,Protein Coding,31.93
PDPN,Podoplanin,Protein Coding,31.88
HDAC3,Histone Deacetylase 3,Protein Coding,31.88
CRP,C-Reactive Protein,Protein Coding,31.86
RMI1,RecQ Mediated Genome Instability 1,Protein Coding,31.85
FGF9,Fibroblast Growth Factor 9,Protein Coding,31.85
EED,Embryonic Ectoderm Development,Protein Coding,31.84
SHH,Sonic Hedgehog Signaling Molecule,Protein Coding,31.83
ADAM10,ADAM Metallopeptidase Domain 10,Protein Coding,31.81
SLC16A1,Solute Carrier Family 16 Member 1,Protein Coding,31.81
CALB2,Calbindin 2,Protein Coding,31.78
ITGA6,Integrin Subunit Alpha 6,Protein Coding,31.73
AFP,Alpha Fetoprotein,Protein Coding,31.67
CXADR,CXADR Ig-Like Cell Adhesion Molecule,Protein Coding,31.66
HNF1A,HNF1 Homeobox A,Protein Coding,31.65
MYD88,MYD88 Innate Immune Signal Transduction Adaptor,Protein Coding,31.64
SOCS3,Suppressor Of Cytokine Signaling 3,Protein Coding,31.61
MUC16,"Mucin 16, Cell Surface Associated",Protein Coding,31.59
RUNX1,RUNX Family Transcription Factor 1,Protein Coding,31.56
SYNE1,Spectrin Repeat Containing Nuclear Envelope Protein 1,Protein Coding,31.53
CSE1L,Chromosome Segregation 1 Like,Protein Coding,31.51
HSPA1A,Heat Shock Protein Family A (Hsp70) Member 1A,Protein Coding,31.5
MRE11,"MRE11 Homolog, Double Strand Break Repair Nuclease",Protein Coding,31.5
CD55,CD55 Molecule (Cromer Blood Group),Protein Coding,31.46
HOXB6,Homeobox B6,Protein Coding,31.45
IL22,Interleukin 22,Protein Coding,31.39
IDH2,Isocitrate Dehydrogenase (NADP(+)) 2,Protein Coding,31.37
CCR6,C-C Motif Chemokine Receptor 6,Protein Coding,31.36
FOXO1,Forkhead Box O1,Protein Coding,31.36
SERPINE1,Serpin Family E Member 1,Protein Coding,31.34
ACTB,Actin Beta,Protein Coding,31.32
NTRK3,Neurotrophic Receptor Tyrosine Kinase 3,Protein Coding,31.3
SERPINA1,Serpin Family A Member 1,Protein Coding,31.29
HNRNPA1,Heterogeneous Nuclear Ribonucleoprotein A1,Protein Coding,31.24
CDH3,Cadherin 3,Protein Coding,31.2
LEP,Leptin,Protein Coding,31.19
PTGER1,Prostaglandin E Receptor 1,Protein Coding,31.08
FABP1,Fatty Acid Binding Protein 1,Protein Coding,31.07
SEPTIN9,Septin 9,Protein Coding,31.02
CCL20,C-C Motif Chemokine Ligand 20,Protein Coding,31
EPHA1,EPH Receptor A1,Protein Coding,30.95
IRS2,Insulin Receptor Substrate 2,Protein Coding,30.94
CXCL5,C-X-C Motif Chemokine Ligand 5,Protein Coding,30.86
AMACR,Alpha-Methylacyl-CoA Racemase,Protein Coding,30.85
TXNRD1,Thioredoxin Reductase 1,Protein Coding,30.84
ING1,Inhibitor Of Growth Family Member 1,Protein Coding,30.8
FUT1,Fucosyltransferase 1 (H Blood Group),Protein Coding,30.79
ANPEP,"Alanyl Aminopeptidase, Membrane",Protein Coding,30.73
DROSHA,Drosha Ribonuclease III,Protein Coding,30.68
COL4A3,Collagen Type IV Alpha 3 Chain,Protein Coding,30.64
NUDT1,Nudix Hydrolase 1,Protein Coding,30.58
SLC16A3,Solute Carrier Family 16 Member 3,Protein Coding,30.56
PRKCD,Protein Kinase C Delta,Protein Coding,30.55
ITGA3,Integrin Subunit Alpha 3,Protein Coding,30.52
CCNE1,Cyclin E1,Protein Coding,30.52
SULT1A1,Sulfotransferase Family 1A Member 1,Protein Coding,30.5
CYP1B1,Cytochrome P450 Family 1 Subfamily B Member 1,Protein Coding,30.47
SMARCA4,"SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 4",Protein Coding,30.45
NBN,Nibrin,Protein Coding,30.44
RARA,Retinoic Acid Receptor Alpha,Protein Coding,30.42
FGF3,Fibroblast Growth Factor 3,Protein Coding,30.38
S100A11,S100 Calcium Binding Protein A11,Protein Coding,30.36
MSN,Moesin,Protein Coding,30.34
PRKDC,"Protein Kinase, DNA-Activated, Catalytic Subunit",Protein Coding,30.34
PXDN,Peroxidasin,Protein Coding,30.33
PXDNL,Peroxidasin Like,Protein Coding,30.32
BIRC7,Baculoviral IAP Repeat Containing 7,Protein Coding,30.25
TNFRSF6B,TNF Receptor Superfamily Member 6b,Protein Coding,30.21
CYP2E1,Cytochrome P450 Family 2 Subfamily E Member 1,Protein Coding,30.19
MIF,Macrophage Migration Inhibitory Factor,Protein Coding,30.16
TPBG,Trophoblast Glycoprotein,Protein Coding,30.15
HSPG2,Heparan Sulfate Proteoglycan 2,Protein Coding,30.14
XRCC3,X-Ray Repair Cross Complementing 3,Protein Coding,30.11
ADAM17,ADAM Metallopeptidase Domain 17,Protein Coding,30.1
GUSB,Glucuronidase Beta,Protein Coding,30.09
SDHB,Succinate Dehydrogenase Complex Iron Sulfur Subunit B,Protein Coding,30.07
WEE1,WEE1 G2 Checkpoint Kinase,Protein Coding,30.06
SDC1,Syndecan 1,Protein Coding,30.06
SST,Somatostatin,Protein Coding,30.04
BMP2,Bone Morphogenetic Protein 2,Protein Coding,30.03
YES1,"YES Proto-Oncogene 1, Src Family Tyrosine Kinase",Protein Coding,30.01
PPARGC1A,PPARG Coactivator 1 Alpha,Protein Coding,30
HMMR,Hyaluronan Mediated Motility Receptor,Protein Coding,30
FAP,Fibroblast Activation Protein Alpha,Protein Coding,29.96
CTLA4,Cytotoxic T-Lymphocyte Associated Protein 4,Protein Coding,29.91
IGFBP4,Insulin Like Growth Factor Binding Protein 4,Protein Coding,29.91
UGT1A8,UDP Glucuronosyltransferase Family 1 Member A8,Protein Coding,29.9
ADIPOQ,"Adiponectin, C1Q And Collagen Domain Containing",Protein Coding,29.88
EPHX1,Epoxide Hydrolase 1,Protein Coding,29.88
HLA-G,"Major Histocompatibility Complex, Class I, G",Protein Coding,29.85
CLOCK,Clock Circadian Regulator,Protein Coding,29.79
CTTN,Cortactin,Protein Coding,29.78
AGER,Advanced Glycosylation End-Product Specific Receptor,Protein Coding,29.78
IL11,Interleukin 11,Protein Coding,29.75
SQSTM1,Sequestosome 1,Protein Coding,29.67
L1CAM,L1 Cell Adhesion Molecule,Protein Coding,29.67
F2R,Coagulation Factor II Thrombin Receptor,Protein Coding,29.62
PLG,Plasminogen,Protein Coding,29.61
SHMT1,Serine Hydroxymethyltransferase 1,Protein Coding,29.59
FOLR1,Folate Receptor Alpha,Protein Coding,29.56
ALDH2,Aldehyde Dehydrogenase 2 Family Member,Protein Coding,29.56
LGALS9,Galectin 9,Protein Coding,29.52
LEPR,Leptin Receptor,Protein Coding,29.44
FGF20,Fibroblast Growth Factor 20,Protein Coding,29.44
FABP6,Fatty Acid Binding Protein 6,Protein Coding,29.41
MCM7,Minichromosome Maintenance Complex Component 7,Protein Coding,29.39
ANXA1,Annexin A1,Protein Coding,29.37
UNG,Uracil DNA Glycosylase,Protein Coding,29.35
PROM1,Prominin 1,Protein Coding,29.34
TAC1,Tachykinin Precursor 1,Protein Coding,29.33
S100A9,S100 Calcium Binding Protein A9,Protein Coding,29.33
ABL1,"ABL Proto-Oncogene 1, Non-Receptor Tyrosine Kinase",Protein Coding,29.33
HES1,Hes Family BHLH Transcription Factor 1,Protein Coding,29.33
ENO1,Enolase 1,Protein Coding,29.32
FEN1,Flap Structure-Specific Endonuclease 1,Protein Coding,29.31
IGFBP6,Insulin Like Growth Factor Binding Protein 6,Protein Coding,29.31
PYCARD,PYD And CARD Domain Containing,Protein Coding,29.3
ROCK1,Rho Associated Coiled-Coil Containing Protein Kinase 1,Protein Coding,29.29
POSTN,Periostin,Protein Coding,29.24
IL3,Interleukin 3,Protein Coding,29.2
VIP,Vasoactive Intestinal Peptide,Protein Coding,29.2
NR1H4,Nuclear Receptor Subfamily 1 Group H Member 4,Protein Coding,29.19
PECAM1,Platelet And Endothelial Cell Adhesion Molecule 1,Protein Coding,29.16
NR4A1,Nuclear Receptor Subfamily 4 Group A Member 1,Protein Coding,29.15
SLC1A5,Solute Carrier Family 1 Member 5,Protein Coding,29.09
LCK,"LCK Proto-Oncogene, Src Family Tyrosine Kinase",Protein Coding,29.06
GSN,Gelsolin,Protein Coding,29.05
RXRA,Retinoid X Receptor Alpha,Protein Coding,29.02
TUBB,Tubulin Beta Class I,Protein Coding,28.96
EHMT2,Euchromatic Histone Lysine Methyltransferase 2,Protein Coding,28.96
CYP2D6,Cytochrome P450 Family 2 Subfamily D Member 6,Protein Coding,28.87
EIF2AK2,Eukaryotic Translation Initiation Factor 2 Alpha Kinase 2,Protein Coding,28.84
PTP4A3,Protein Tyrosine Phosphatase 4A3,Protein Coding,28.83
FCGR2A,Fc Gamma Receptor IIa,Protein Coding,28.83
LGR5,Leucine Rich Repeat Containing G Protein-Coupled Receptor 5,Protein Coding,28.83
RAN,"RAN, Member RAS Oncogene Family",Protein Coding,28.79
CYP19A1,Cytochrome P450 Family 19 Subfamily A Member 1,Protein Coding,28.75
GPA33,Glycoprotein A33,Protein Coding,28.74
TEK,TEK Receptor Tyrosine Kinase,Protein Coding,28.71
SELP,Selectin P,Protein Coding,28.67
LPAR2,Lysophosphatidic Acid Receptor 2,Protein Coding,28.66
AKR1B1,Aldo-Keto Reductase Family 1 Member B,Protein Coding,28.64
CHI3L1,Chitinase 3 Like 1,Protein Coding,28.64
IL32,Interleukin 32,Protein Coding,28.63
ATR,ATR Serine/Threonine Kinase,Protein Coding,28.62
GREM1,"Gremlin 1, DAN Family BMP Antagonist",Protein Coding,28.59
F3,"Coagulation Factor III, Tissue Factor",Protein Coding,28.57
SFRP1,Secreted Frizzled Related Protein 1,Protein Coding,28.52
MME,Membrane Metalloendopeptidase,Protein Coding,28.52
FOXP3,Forkhead Box P3,Protein Coding,28.52
H2AX,H2A.X Variant Histone,Protein Coding,28.52
ACLY,ATP Citrate Lyase,Protein Coding,28.51
GPI,Glucose-6-Phosphate Isomerase,Protein Coding,28.5
PSAT1,Phosphoserine Aminotransferase 1,Protein Coding,28.48
FGF7,Fibroblast Growth Factor 7,Protein Coding,28.47
LCP1,Lymphocyte Cytosolic Protein 1,Protein Coding,28.47
TNFRSF10D,TNF Receptor Superfamily Member 10d,Protein Coding,28.46
SOD2,Superoxide Dismutase 2,Protein Coding,28.45
KAT5,Lysine Acetyltransferase 5,Protein Coding,28.45
CASP10,Caspase 10,Protein Coding,28.41
EPHB3,EPH Receptor B3,Protein Coding,28.4
CXCL3,C-X-C Motif Chemokine Ligand 3,Protein Coding,28.37
PTP4A1,Protein Tyrosine Phosphatase 4A1,Protein Coding,28.31
GPX4,Glutathione Peroxidase 4,Protein Coding,28.29
AOPEP,Aminopeptidase O (Putative),Protein Coding,28.28
CD28,CD28 Molecule,Protein Coding,28.28
TNFRSF1B,TNF Receptor Superfamily Member 1B,Protein Coding,28.24
EIF2S1,Eukaryotic Translation Initiation Factor 2 Subunit Alpha,Protein Coding,28.23
INSR,Insulin Receptor,Protein Coding,28.22
CEMIP,Cell Migration Inducing Hyaluronidase 1,Protein Coding,28.22
KCNB2,Potassium Voltage-Gated Channel Subfamily B Member 2,Protein Coding,28.21
LPAR1,Lysophosphatidic Acid Receptor 1,Protein Coding,28.16
LIAT1,Ligand Of ATE1,Protein Coding,28.14
TACSTD2,Tumor Associated Calcium Signal Transducer 2,Protein Coding,28.14
SFN,Stratifin,Protein Coding,28.13
PTPN1,Protein Tyrosine Phosphatase Non-Receptor Type 1,Protein Coding,28.12
BRF1,BRF1 RNA Polymerase III Transcription Initiation Factor Subunit,Protein Coding,28.09
UVRAG,UV Radiation Resistance Associated,Protein Coding,28.06
CD34,CD34 Molecule,Protein Coding,28.05
CEP55,Centrosomal Protein 55,Protein Coding,28.04
FURIN,"Furin, Paired Basic Amino Acid Cleaving Enzyme",Protein Coding,28.01
ANGPTL4,Angiopoietin Like 4,Protein Coding,28
CRIPTO3,"Cripto, EGF-CFC Family Member 3",Protein Coding,27.93
CLIC1,Chloride Intracellular Channel 1,Protein Coding,27.91
CYP2A6,Cytochrome P450 Family 2 Subfamily A Member 6,Protein Coding,27.9
LOXL2,Lysyl Oxidase Like 2,Protein Coding,27.88
HSPA9,Heat Shock Protein Family A (Hsp70) Member 9,Protein Coding,27.87
TIGAR,TP53 Induced Glycolysis Regulatory Phosphatase,Protein Coding,27.82
GAL,Galanin And GMAP Prepropeptide,Protein Coding,27.81
HSPD1,Heat Shock Protein Family D (Hsp60) Member 1,Protein Coding,27.79
PIGR,Polymeric Immunoglobulin Receptor,Protein Coding,27.79
ENO2,Enolase 2,Protein Coding,27.72
INHBA,Inhibin Subunit Beta A,Protein Coding,27.68
HSPH1,Heat Shock Protein Family H (Hsp110) Member 1,Protein Coding,27.68
CRYGC,Crystallin Gamma C,Protein Coding,27.66
CP,Ceruloplasmin,Protein Coding,27.58
NOX1,NADPH Oxidase 1,Protein Coding,27.57
RSPO2,R-Spondin 2,Protein Coding,27.57
EDN1,Endothelin 1,Protein Coding,27.53
RAD50,RAD50 Double Strand Break Repair Protein,Protein Coding,27.51
GLS,Glutaminase,Protein Coding,27.47
BAG1,BAG Cochaperone 1,Protein Coding,27.43
BARD1,BRCA1 Associated RING Domain 1,Protein Coding,27.41
IGFBP1,Insulin Like Growth Factor Binding Protein 1,Protein Coding,27.4
ACP1,Acid Phosphatase 1,Protein Coding,27.38
PTHLH,Parathyroid Hormone Like Hormone,Protein Coding,27.37
IL2RA,Interleukin 2 Receptor Subunit Alpha,Protein Coding,27.36
GHRL,Ghrelin And Obestatin Prepropeptide,Protein Coding,27.33
PTPRC,Protein Tyrosine Phosphatase Receptor Type C,Protein Coding,27.29
CBL,Cbl Proto-Oncogene,Protein Coding,27.29
ADH1B,"Alcohol Dehydrogenase 1B (Class I), Beta Polypeptide",Protein Coding,27.28
SHMT2,Serine Hydroxymethyltransferase 2,Protein Coding,27.25
CHFR,Checkpoint With Forkhead And Ring Finger Domains,Protein Coding,27.25
ROR2,Receptor Tyrosine Kinase Like Orphan Receptor 2,Protein Coding,27.25
ATF4,Activating Transcription Factor 4,Protein Coding,27.23
SELL,Selectin L,Protein Coding,27.18
IL1RN,Interleukin 1 Receptor Antagonist,Protein Coding,27.17
PTPRA,Protein Tyrosine Phosphatase Receptor Type A,Protein Coding,27.16
